Designator,Mid X,Mid Y,Rotation,Layer
C1,128.02,-106.0,0.0,top
C10,127.0,-100.0,180.0,top
C11,127.04,-101.0,180.0,top
C12,126.0,-102.0,180.0,top
C13,121.275,-97.5,0.0,top
C14,120.5,-92.0,180.0,top
C15,118.4,-117.83,90.0,top
C16,124.4,-117.87,90.0,top
C17,129.0,-109.0,0.0,top
C2,128.0,-104.0,0.0,top
C3,126.0,-103.0,180.0,top
C4,128.02,-105.0,0.0,top
C5,128.0,-107.48,90.0,top
C6,129.0,-107.5,90.0,top
C7,128.02,-102.0,180.0,top
C8,128.02,-103.0,180.0,top
C9,129.5,-105.5,90.0,top
J1,123.5,-85.4,180.0,top
J2,114.50868,-108.310901,0.0,bottom
J3,132.28868,-108.310901,0.0,bottom
J4,123.5,-132.100901,90.0,bottom
R1,128.5,-92.0,0.0,top
R2,128.51,-93.0,0.0,top
R3,126.0,-105.51,270.0,top
R4,125.0,-105.52,270.0,top
R5,126.0,-117.5,0.0,top
R6,119.51,-122.0,0.0,top
R7,117.49,-108.0,180.0,top
SW1,119.5,-125.5,90.0,top
U1,123.39868,-111.1,90.0,top
U2,120.0,-94.5,180.0,top
U3,121.5,-104.5,0.0,top
Y1,121.4,-117.85,0.0,top
